epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7355,0.92594,2.75233,1.28611,0.00333,1,0.75485,0.5377,0.62615,2.85713,1.18179,0.00014,0.00014,0.00014
2,20.9622,0.73765,2.23922,1.13447,0.00333,1,0.94696,0.75083,0.59443,2.64408,1.06443,0.000297525,0.000297525,0.000297525
3,21.952,0.74358,1.65811,1.13376,0.00333,1,0.98637,0.85426,0.58749,2.54838,1.06009,0.00045241,0.00045241,0.00045241
4,22.9513,0.75569,1.36801,1.1106,1,0.77312,0.97067,0.79595,0.62204,2.36634,1.06299,0.000604655,0.000604655,0.000604655
5,23.951,0.78224,1.19055,1.1137,0.96018,0.93333,0.98878,0.76084,0.73446,2.22001,1.2363,0.00075426,0.00075426,0.00075426
6,24.9351,0.76821,1.09762,1.1202,0.96411,0.89566,0.97879,0.7421,0.76375,2.12131,1.29502,0.000901225,0.000901225,0.000901225
7,25.9081,0.74668,1.09455,1.13467,0.97854,0.83333,0.98073,0.80735,0.71536,1.93177,1.21184,0.00104555,0.00104555,0.00104555
8,26.8756,0.76647,1.06389,1.10735,1,0.84826,0.98172,0.81332,0.65682,2.102,1.12955,0.00118724,0.00118724,0.00118724
9,27.8417,0.78267,1.08665,1.12719,0.92773,0.83333,0.9622,0.60918,0.8184,2.23705,1.38712,0.00132628,0.00132628,0.00132628
10,28.7916,0.76537,0.9661,1.10932,0.96372,0.88568,0.9526,0.70566,0.76249,1.85491,1.26749,0.00146269,0.00146269,0.00146269
11,29.766,0.75356,0.9501,1.07358,0.95757,0.75254,0.85904,0.57966,0.87301,2.09275,1.34212,0.00159645,0.00159645,0.00159645
12,30.7196,0.78797,0.92583,1.08955,0.69855,0.66667,0.67522,0.48575,1.00922,2.17154,1.48153,0.00172757,0.00172757,0.00172757
13,31.6579,0.69694,0.88682,1.06815,0.85289,0.63333,0.83206,0.66222,0.77271,1.86171,1.22609,0.001802,0.001802,0.001802
14,32.6098,0.716,0.87144,1.0645,0.87901,0.96874,0.98814,0.7996,0.72363,1.25507,1.17663,0.0017855,0.0017855,0.0017855
15,33.5663,0.75339,0.84596,1.09933,0.95785,0.96667,0.98599,0.79086,0.69125,1.16428,1.14069,0.001769,0.001769,0.001769
16,34.518,0.74824,0.85195,1.06162,0.95851,0.9,0.97579,0.77435,0.79616,0.96884,1.24411,0.0017525,0.0017525,0.0017525
17,35.457,0.67209,0.78175,1.02007,0.78724,0.86345,0.84262,0.66281,0.71912,1.18589,1.1805,0.001736,0.001736,0.001736
18,36.4074,0.74364,0.75893,1.09535,0.82334,0.77699,0.83429,0.58343,0.66596,1.69183,1.08417,0.0017195,0.0017195,0.0017195
19,37.354,0.72992,0.75842,1.08924,0.83919,0.86987,0.90795,0.71205,0.72086,1.33079,1.1585,0.001703,0.001703,0.001703
20,38.2838,0.71987,0.72185,1.05779,1,0.99095,0.995,0.86654,0.57596,0.79449,1.02452,0.0016865,0.0016865,0.0016865
21,39.2178,0.6984,0.68416,1.04762,0.99146,1,0.995,0.81663,0.70866,0.8466,1.10131,0.00167,0.00167,0.00167
22,40.1534,0.74189,0.65964,1.06545,0.98894,0.96667,0.99227,0.83839,0.64308,0.72813,1.11644,0.0016535,0.0016535,0.0016535
23,41.086,0.64466,0.63959,1.05155,0.98678,0.96667,0.99312,0.82139,0.63391,0.69425,1.11493,0.001637,0.001637,0.001637
24,42.0206,0.69169,0.62433,1.05691,0.93155,0.96667,0.97994,0.84172,0.63237,0.82262,1.10431,0.0016205,0.0016205,0.0016205
25,42.953,0.71777,0.62127,1.0882,0.89947,0.96667,0.97958,0.82709,0.64913,0.77219,1.09618,0.001604,0.001604,0.001604
26,43.8925,0.71303,0.64463,1.05194,0.96516,0.92359,0.98363,0.83269,0.64344,0.78305,1.05968,0.0015875,0.0015875,0.0015875
27,44.8417,0.68308,0.63709,1.0327,0.90535,0.95669,0.96563,0.79821,0.67033,0.76479,1.08873,0.001571,0.001571,0.001571
28,45.7733,0.64559,0.55925,1.0383,0.90744,0.96667,0.96695,0.82651,0.60114,0.72565,1.04963,0.0015545,0.0015545,0.0015545
29,46.706,0.66492,0.58379,1.05606,0.98297,1,0.995,0.84834,0.59188,0.65872,1.05893,0.001538,0.001538,0.001538
30,47.6433,0.68956,0.58391,1.08536,0.98955,1,0.995,0.83786,0.68956,0.61685,1.13002,0.0015215,0.0015215,0.0015215
31,48.5738,0.65809,0.56216,1.05876,0.95227,1,0.98984,0.82051,0.71315,0.67373,1.124,0.001505,0.001505,0.001505
32,49.5113,0.66418,0.52906,1.01872,0.96763,0.99644,0.99403,0.82951,0.67006,0.64672,1.08366,0.0014885,0.0014885,0.0014885
33,50.4464,0.64181,0.51976,1.0165,1,0.99806,0.995,0.83149,0.70451,0.62035,1.13944,0.001472,0.001472,0.001472
34,51.3883,0.64524,0.52518,1.01961,0.95276,0.96667,0.98994,0.84943,0.63905,0.69254,1.07372,0.0014555,0.0014555,0.0014555
35,52.3289,0.6228,0.49781,1.00779,0.90381,0.93981,0.98581,0.768,0.78635,0.87732,1.19261,0.001439,0.001439,0.001439
36,53.2652,0.61994,0.51735,1.0161,0.93528,0.96667,0.9766,0.78302,0.76751,0.8499,1.16402,0.0014225,0.0014225,0.0014225
37,54.1976,0.58142,0.48758,0.98862,0.9676,0.99569,0.99081,0.78112,0.75386,0.62066,1.16455,0.001406,0.001406,0.001406
38,55.1332,0.60715,0.46861,1.00447,0.96772,0.99919,0.97145,0.81374,0.6398,0.57599,1.07156,0.0013895,0.0013895,0.0013895
39,56.0661,0.61532,0.48385,1.04684,1,0.99322,0.995,0.84533,0.6223,0.50169,1.03045,0.001373,0.001373,0.001373
40,57.0038,0.61436,0.51728,1.03548,1,0.99592,0.995,0.86413,0.61316,0.43975,1.01432,0.0013565,0.0013565,0.0013565
41,57.9338,0.6694,0.54916,1.06957,0.99829,1,0.995,0.85897,0.57923,0.42594,1.01177,0.00134,0.00134,0.00134
42,58.8657,0.63949,0.51043,1.03701,0.98959,1,0.995,0.84406,0.6107,0.46152,1.00924,0.0013235,0.0013235,0.0013235
43,59.8088,0.64184,0.50269,1.03805,0.98454,1,0.995,0.84377,0.62666,0.4707,1.05702,0.001307,0.001307,0.001307
44,60.7457,0.64324,0.50024,1.02145,0.98444,1,0.995,0.81668,0.65655,0.46537,1.0876,0.0012905,0.0012905,0.0012905
45,61.6854,0.62621,0.49854,1.03562,0.98567,1,0.995,0.85862,0.60626,0.41712,1.02632,0.001274,0.001274,0.001274
46,62.6227,0.67883,0.50222,1.04061,0.96603,1,0.99306,0.86529,0.56926,0.42551,1.01836,0.0012575,0.0012575,0.0012575
47,63.5569,0.59854,0.45561,1.00818,0.96343,1,0.99081,0.83046,0.6436,0.4869,1.09872,0.001241,0.001241,0.001241
48,64.4986,0.62086,0.47527,1.02918,0.96539,1,0.99403,0.85252,0.57673,0.53645,1.01345,0.0012245,0.0012245,0.0012245
49,65.4354,0.62532,0.47569,1.02364,0.99709,1,0.995,0.86633,0.5708,0.51046,0.98545,0.001208,0.001208,0.001208
50,66.3669,0.58048,0.44753,0.9889,0.99389,1,0.995,0.81724,0.66804,0.44158,1.10111,0.0011915,0.0011915,0.0011915
51,67.2962,0.63993,0.44542,1.03128,0.99775,1,0.995,0.86114,0.59539,0.38176,1.04179,0.001175,0.001175,0.001175
52,68.2278,0.58733,0.40728,0.99482,0.99799,1,0.995,0.86046,0.57175,0.35713,1.01504,0.0011585,0.0011585,0.0011585
53,69.1677,0.60057,0.45065,1.00507,0.99781,1,0.995,0.84003,0.60804,0.36157,1.02754,0.001142,0.001142,0.001142
54,70.1022,0.61587,0.44255,1.02622,0.99771,1,0.995,0.86848,0.60143,0.39568,1.01876,0.0011255,0.0011255,0.0011255
